aX,aY,aZ,gX,gY,gZ
0.436,-0.483,-0.797,0.488,-1.831,7.385
0.439,-0.486,-0.802,0.793,-2.319,7.812
0.438,-0.451,-0.802,-0.244,-3.235,7.996
0.440,-0.439,-0.815,-2.014,-3.662,6.958
0.438,-0.452,-0.823,-1.831,-4.333,5.981
0.427,-0.461,-0.767,-0.366,-6.104,6.042
0.412,-0.446,-0.708,0.671,-6.470,6.592
0.415,-0.424,-0.682,1.587,-4.395,7.202
0.423,-0.388,-0.698,1.770,-2.136,6.775
0.434,-0.359,-0.741,1.465,0.183,5.310
0.437,-0.351,-0.751,1.709,0.305,3.296
0.436,-0.371,-0.766,1.831,0.427,0.916
-0.008,-1.849,-2.119,-10.376,27.710,15.625
-0.013,-2.051,-2.255,-13.062,14.099,24.048
-0.105,-2.457,-2.154,-7.446,-6.287,33.142
-0.209,-2.868,-1.890,4.333,-27.588,51.697
-0.370,-3.160,-1.410,23.560,-42.297,83.862
-0.484,-3.322,-1.012,38.696,-43.518,123.962
-0.533,-3.423,-1.110,38.086,-24.109,166.504
-0.613,-3.246,-1.105,22.461,-16.052,210.693
-0.876,-2.883,-0.928,-7.751,-24.780,247.681
-1.048,-2.390,-0.704,-41.809,-33.630,279.236
-1.051,-1.822,-1.022,-54.077,-18.921,307.068
-1.045,-1.101,-1.384,-35.706,-8.789,335.022
-1.109,-0.726,-1.052,-6.287,-30.884,351.196
-0.937,-0.228,-0.782,18.799,-47.607,361.938
-1.084,-0.122,-0.432,34.119,-60.242,356.934
-1.159,-0.110,0.168,36.499,-73.364,349.426
-1.204,0.275,0.047,22.827,-49.255,354.919
-1.206,0.968,-0.029,-14.404,-34.363,358.154
-1.132,1.694,0.064,-59.875,-28.442,348.328
-1.063,2.331,-0.194,-101.196,-7.263,320.862
-0.793,2.843,-0.727,-127.502,13.672,280.823
-0.579,2.943,-0.827,-113.464,16.541,234.436
-0.393,2.780,-0.736,-70.923,13.916,189.453
-0.223,2.319,-0.913,-30.212,20.935,143.555
-0.126,1.625,-0.965,-8.911,17.639,101.379
-0.067,1.119,-0.764,-6.226,5.920,76.965
-0.013,0.735,-0.769,-9.827,8.362,63.232
0.068,0.590,-1.027,-15.869,21.179,59.021
0.125,0.567,-1.307,-18.066,25.024,59.143
0.207,0.551,-1.459,-24.048,18.677,55.542
0.245,0.640,-1.555,-22.461,10.620,52.917
0.240,0.526,-1.442,-18.555,-2.563,43.396
0.236,0.408,-1.216,-12.146,-13.855,35.950
0.231,0.331,-1.036,-4.150,-16.418,32.227
0.246,0.325,-0.901,3.113,-14.526,30.273
0.277,0.251,-0.838,6.165,-10.437,25.330
0.305,0.201,-0.855,4.333,-6.042,20.081
0.310,0.184,-0.809,1.465,-4.944,16.235
0.308,0.168,-0.784,-2.991,-4.028,11.108
0.327,0.037,-0.809,-9.277,-1.892,4.028
0.343,-0.112,-0.840,-15.198,-0.305,-0.854
0.348,-0.174,-0.883,-17.944,0.671,-0.122
0.355,-0.115,-0.863,-17.822,-0.916,4.211
0.361,-0.079,-0.869,-14.038,-0.854,6.592
0.367,-0.029,-0.857,-8.362,-0.061,7.019
0.365,-0.066,-0.827,-6.470,1.221,4.944
0.380,-0.122,-0.823,-6.897,3.540,1.465
0.392,-0.169,-0.839,-8.057,6.104,-0.305
0.384,-0.183,-0.884,-9.033,7.812,-0.488
0.385,-0.156,-0.930,-9.827,8.545,0.122
0.391,-0.168,-0.983,-9.399,8.484,-1.221
0.404,-0.161,-1.025,-8.911,7.385,-2.075
0.418,-0.178,-1.079,-7.629,5.798,-2.075
0.410,-0.185,-1.050,-5.310,1.953,-2.136
0.406,-0.222,-1.004,-3.052,-1.526,-2.014
0.406,-0.282,-0.989,-2.319,-2.380,-1.953
0.401,-0.255,-0.971,-1.648,-2.136,0.549
0.394,-0.230,-0.936,-3.052,-2.258,2.441
0.397,-0.223,-0.932,-6.409,-1.587,1.709
0.407,-0.222,-0.950,-9.766,-0.061,1.160
0.398,-0.215,-0.928,-12.451,-0.427,0.671
0.405,-0.211,-0.929,-12.817,-1.221,0.061
0.404,-0.211,-0.925,-9.216,-2.014,0.122
0.395,-0.158,-0.907,-2.991,-2.136,2.319
