aX,aY,aZ,gX,gY,gZ
-0.213,-0.693,0.696,3.052,2.747,1.709
-0.210,-0.697,0.701,5.615,3.296,2.014
-0.209,-0.694,0.699,7.080,4.089,2.563
-0.206,-0.676,0.687,9.521,5.249,3.296
-0.205,-0.656,0.644,13.062,5.920,3.479
-0.203,-0.676,0.619,11.902,5.127,2.197
-0.202,-0.684,0.622,7.080,2.747,1.099
-0.203,-0.701,0.625,1.831,1.038,0.122
-0.201,-0.736,0.639,-1.160,-0.916,-0.305
-0.200,-0.727,0.686,-4.761,-2.502,1.038
-0.202,-0.742,0.705,-5.066,-2.380,1.770
-0.203,-0.724,0.708,-2.991,-1.160,2.747
-0.199,-0.709,0.727,-0.671,-0.427,3.479
-0.202,-0.713,0.726,1.038,1.038,3.357
-0.206,-0.700,0.722,2.625,2.625,3.479
-0.213,-0.701,0.701,4.089,3.784,3.174
-0.959,3.459,-0.325,12.146,20.630,46.204
-1.294,4.000,-0.539,53.650,23.865,5.737
-1.512,4.000,-0.842,100.647,22.827,-54.138
-1.705,4.000,-1.223,137.939,18.616,-125.854
-1.823,3.997,-1.214,148.743,-6.470,-196.960
-1.882,3.412,-0.969,130.371,-37.842,-266.296
-1.920,2.715,-0.636,98.022,-62.073,-325.867
-1.942,1.850,-0.162,67.810,-79.651,-376.648
-1.911,0.913,0.297,50.903,-87.280,-418.274
-1.796,-0.032,0.416,55.420,-81.604,-444.214
-1.642,-1.114,0.401,69.214,-74.768,-453.430
-1.528,-2.051,0.217,95.764,-72.632,-439.209
-1.359,-2.919,-0.074,132.874,-83.618,-410.461
-1.185,-3.271,-0.153,128.662,-115.479,-369.934
-1.183,-3.179,0.362,72.021,-167.297,-323.059
-1.126,-3.563,1.320,-8.301,-214.966,-298.096
-0.927,-4.000,2.701,-91.980,-246.704,-275.269
-0.643,-4.000,3.753,-120.605,-234.863,-225.037
-0.480,-3.730,3.836,-67.444,-165.955,-167.542
-0.332,-3.176,3.090,6.104,-78.735,-122.314
-0.328,-2.540,2.243,83.496,-15.320,-92.712
-0.338,-1.681,1.319,137.207,22.522,-69.946
-0.329,-1.070,0.839,143.982,26.611,-65.491
-0.300,-1.083,0.563,114.136,12.573,-81.909
-0.276,-1.435,0.456,71.777,-4.761,-98.999
-0.277,-1.657,0.599,43.579,-26.794,-98.145
-0.262,-1.879,0.733,46.631,-38.635,-88.562
-0.239,-2.161,0.926,70.862,-43.579,-76.721
-0.252,-2.194,1.075,90.576,-41.870,-54.993
-0.220,-2.002,1.386,90.881,-36.743,-30.029
-0.223,-1.627,1.526,78.613,-22.400,-9.460
-0.248,-1.267,1.301,74.829,4.822,-0.610
