aX,aY,aZ,gX,gY,gZ
0.227,-0.595,-0.924,14.404,-17.944,28.564
0.199,-0.563,-0.888,-2.808,-16.418,31.067
0.151,-0.505,-0.842,-20.142,-15.991,33.203
0.199,-0.595,-0.730,-18.127,-16.235,30.518
0.224,-0.575,-0.822,-48.828,-2.258,36.621
0.255,-0.650,-0.953,-109.863,10.437,42.236
0.272,-0.817,-0.878,-128.235,4.272,41.687
0.263,-0.739,-0.829,-90.881,-5.859,49.561
0.212,-0.624,-0.794,-16.052,-14.099,55.847
0.172,-0.507,-0.690,59.692,-25.085,55.786
0.194,-0.422,-0.584,95.947,-28.748,52.368
0.241,-0.427,-0.542,73.303,-14.160,43.335
0.281,-0.536,-0.632,35.889,8.850,32.715
0.249,-0.646,-0.871,31.677,25.024,28.076
-0.844,2.490,0.820,-21.606,156.616,-87.280
-0.994,2.313,0.898,-44.983,160.645,-131.714
-1.134,2.095,0.700,-56.519,178.711,-173.950
-1.251,1.968,0.428,-52.429,202.637,-209.351
-1.353,1.810,0.333,-35.950,221.191,-243.347
-1.446,1.645,0.099,-8.728,246.521,-276.123
-1.554,1.484,-0.009,22.156,270.874,-306.824
-1.610,1.145,-0.215,45.532,295.776,-339.050
-1.677,0.684,-0.501,50.171,315.186,-368.408
-1.715,0.196,-1.012,34.363,323.303,-389.282
-1.635,-0.471,-1.776,0.977,319.214,-407.043
-1.353,-1.299,-2.293,-30.273,294.861,-418.518
-1.026,-2.051,-2.169,-37.781,257.568,-411.743
-0.760,-2.169,-1.646,-17.883,231.506,-376.038
-0.672,-1.902,-1.429,16.907,234.070,-330.566
-0.620,-1.722,-1.546,55.481,256.226,-300.110
-0.653,-1.915,-1.689,86.548,275.635,-285.400
-0.571,-2.137,-2.482,73.730,285.278,-263.000
-0.350,-2.369,-3.381,-0.305,253.906,-228.210
-0.141,-2.677,-3.549,-102.295,166.504,-187.195
-0.048,-2.572,-3.069,-179.321,69.214,-135.071
-0.040,-2.053,-2.560,-202.942,8.301,-85.571
-0.081,-1.498,-2.079,-165.222,-10.498,-60.303
-0.138,-1.249,-1.693,-87.891,0.793,-62.500
-0.137,-1.198,-1.489,-9.155,31.555,-75.012
-0.107,-1.180,-1.323,37.842,58.228,-82.703
-0.049,-1.145,-1.407,55.786,77.576,-86.121
-0.032,-1.178,-1.747,65.735,94.604,-86.914
0.011,-1.198,-1.927,72.815,93.567,-81.604
0.029,-1.156,-1.904,62.500,74.402,-68.359
0.040,-1.079,-1.900,27.405,47.485,-54.199
0.070,-1.120,-1.755,-12.207,18.005,-43.884
0.069,-1.101,-1.585,-38.269,-4.700,-32.776
0.069,-0.922,-1.427,-44.128,-16.724,-18.616
0.036,-0.761,-1.190,-37.415,-22.339,-12.390
0.029,-0.612,-0.964,-23.987,-19.897,-12.817
0.018,-0.546,-0.941,-11.047,-8.484,-18.860
0.054,-0.602,-1.017,-1.770,2.869,-27.527
0.091,-0.745,-1.013,2.441,5.920,-34.424
0.121,-0.791,-0.997,6.653,6.104,-33.386
0.130,-0.745,-0.996,10.986,6.714,-28.198
0.143,-0.716,-0.988,12.085,7.263,-24.536
0.151,-0.716,-1.056,11.841,8.179,-22.461
0.146,-0.683,-1.082,8.972,5.432,-18.860
0.151,-0.692,-1.081,6.226,0.122,-15.930
0.157,-0.671,-1.040,3.845,-4.272,-12.268
0.150,-0.624,-0.994,1.099,-8.362,-8.484
0.148,-0.590,-0.932,-0.610,-10.437,-6.531
0.145,-0.583,-0.836,-1.587,-11.658,-5.371
0.139,-0.537,-0.838,-0.427,-8.301,-3.357
0.139,-0.485,-0.842,2.380,-4.578,-2.686
0.123,-0.460,-0.802,4.517,-2.808,-4.456
0.119,-0.462,-0.816,7.629,1.770,-7.385
0.123,-0.487,-0.867,10.925,7.385,-10.559
0.124,-0.530,-0.921,13.062,10.193,-12.512
0.134,-0.585,-0.973,12.695,10.620,-12.451
0.139,-0.655,-0.989,9.521,8.240,-10.315
0.140,-0.679,-1.003,6.287,5.188,-5.127
0.131,-0.637,-0.979,4.150,1.892,1.526
0.120,-0.553,-0.950,2.380,-0.244,7.507
0.110,-0.505,-0.901,1.404,-1.648,10.071
0.102,-0.475,-0.884,2.075,-0.183,9.827
0.094,-0.446,-0.891,4.333,2.563,9.399
0.088,-0.426,-0.891,9.277,5.554,8.301
0.079,-0.431,-0.914,15.015,8.057,7.263
0.064,-0.369,-0.933,19.104,10.498,8.972
0.056,-0.280,-0.985,18.738,11.536,10.498
0.055,-0.285,-0.996,15.930,10.254,7.263
0.051,-0.315,-1.017,12.634,8.118,4.150
0.055,-0.320,-1.023,8.606,5.066,3.357
0.051,-0.327,-1.014,3.235,0.916,2.502
0.048,-0.321,-1.007,-1.038,-1.892,2.258
0.052,-0.308,-0.971,-2.747,-4.028,2.441
0.045,-0.290,-0.938,-2.380,-4.944,2.258
0.058,-0.293,-0.912,-1.831,-4.395,0.061
