aX,aY,aZ,gX,gY,gZ
0.087,0.148,1.017,18.982,54.321,26.978
0.092,0.171,1.043,18.005,53.772,29.297
0.104,0.189,1.103,13.000,53.894,29.480
0.111,0.200,1.158,9.216,55.542,28.320
0.119,0.186,1.176,4.944,59.692,25.391
0.112,0.160,1.158,1.160,65.674,21.240
0.134,0.130,1.078,-2.136,73.059,16.296
0.111,0.179,1.048,0.732,71.655,17.395
0.114,0.130,1.017,7.568,67.261,12.756
0.129,0.061,1.077,9.033,60.852,5.798
0.142,-0.072,1.188,16.296,54.260,0.366
-1.363,2.403,-1.400,-49.683,-257.019,182.190
-1.406,3.050,-1.028,-50.720,-291.260,157.288
-1.453,3.621,-0.679,-48.584,-310.547,118.164
-1.547,3.842,-0.504,-52.124,-309.814,62.744
-1.753,3.830,-0.496,-44.739,-298.340,3.357
-1.974,3.898,-0.646,-15.076,-290.771,-45.105
-2.133,4.000,-0.633,23.926,-301.514,-87.280
-2.260,4.000,-0.432,65.918,-324.158,-134.644
-2.391,4.000,-0.047,88.623,-344.238,-194.153
-2.543,4.000,0.525,94.666,-359.314,-263.489
-2.870,3.845,1.222,94.543,-367.126,-342.529
-3.058,3.440,1.958,121.826,-367.737,-404.297
-3.365,2.635,2.444,180.481,-351.746,-470.459
-3.594,0.869,2.822,226.013,-327.576,-548.584
-3.413,-1.568,3.594,216.980,-307.556,-592.102
-2.816,-3.843,4.000,153.564,-269.897,-559.204
-2.186,-4.000,4.000,42.969,-191.589,-447.693
-1.634,-4.000,3.841,-78.369,-108.398,-291.992
-1.212,-3.969,3.363,-162.415,-63.904,-147.522
-0.941,-2.518,3.358,-206.970,-58.105,-36.316
-0.697,-1.182,3.512,-197.327,-56.396,14.282
-0.618,-0.953,3.494,-137.207,-31.799,-0.793
-0.550,-1.182,2.910,-60.303,11.658,-34.973
-0.491,-1.206,1.852,-2.380,54.993,-48.401
-0.391,-1.006,1.030,0.977,66.406,-44.983
-0.250,-0.854,0.981,-20.996,35.217,-40.100
-0.102,-0.838,1.776,-57.983,-8.911,-34.363
-0.060,-0.702,2.021,-73.547,-7.629,-20.447
-0.110,-0.450,1.650,-60.364,25.940,-5.066
-0.157,-0.221,1.290,-42.786,48.340,4.578
-0.165,0.032,1.107,-26.978,54.016,10.986
-0.163,0.255,1.019,-12.085,55.298,15.686
-0.125,0.491,0.994,-6.775,56.396,17.822
-0.107,0.689,0.979,1.526,59.143,16.418
-0.102,0.780,0.763,12.573,67.810,10.925
-0.118,0.850,0.436,24.048,74.585,4.211
-0.130,0.912,0.165,33.081,70.496,-2.625
-0.109,0.899,0.055,37.537,59.753,-10.254
-0.072,0.796,0.093,33.569,47.241,-18.372
-0.063,0.691,0.165,33.630,37.659,-22.339
-0.049,0.673,0.221,36.316,32.227,-20.508
-0.024,0.699,0.275,38.696,27.954,-17.334
-0.026,0.741,0.358,36.987,24.170,-14.893
-0.027,0.772,0.446,32.349,21.484,-13.733
-0.024,0.804,0.501,30.090,19.897,-13.672
-0.032,0.733,0.500,29.846,20.508,-16.113
-0.046,0.608,0.525,30.273,19.409,-19.470
-0.066,0.555,0.542,33.020,17.883,-18.555
-0.077,0.541,0.570,38.635,15.930,-16.479
-0.078,0.517,0.571,43.579,13.794,-14.038
-0.070,0.471,0.563,42.969,11.414,-10.559
-0.052,0.476,0.623,36.804,5.676,-5.310
-0.041,0.596,0.667,35.828,-1.343,-0.061
-0.025,0.636,0.754,30.518,-4.761,0.732
-0.004,0.700,0.793,20.935,-5.737,0.854
0.002,0.806,0.806,16.418,-5.249,0.183
0.011,0.808,0.874,15.503,-6.287,-5.798
0.020,0.707,0.911,14.954,-5.676,-14.465
0.005,0.561,0.869,16.785,-2.625,-20.447
-0.005,0.460,0.824,17.883,-0.488,-20.630
-0.018,0.386,0.828,16.907,-1.587,-16.663
-0.019,0.337,0.882,13.855,-3.357,-10.437
-0.010,0.352,0.940,13.184,-3.601,-2.808
-0.010,0.397,0.990,13.062,-2.502,3.723
-0.002,0.460,1.020,12.390,0.793,9.338
0.006,0.534,1.036,12.268,4.272,12.878
0.001,0.618,0.983,11.963,8.972,15.259
-0.003,0.665,0.899,11.047,13.184,15.259
-0.000,0.664,0.881,7.935,13.428,13.367
-0.008,0.645,0.871,6.653,12.756,11.292
-0.010,0.636,0.834,6.592,13.855,10.437
-0.009,0.613,0.785,7.568,14.771,9.399
-0.015,0.607,0.736,6.836,14.954,8.728
0.002,0.635,0.727,4.700,13.855,9.094
0.004,0.652,0.764,3.052,12.085,8.057
0.002,0.670,0.756,2.014,13.062,5.859
-0.003,0.682,0.755,4.456,13.855,3.235
-0.007,0.661,0.734,8.057,14.465,-0.610
-0.013,0.623,0.714,13.306,14.221,-3.906
-0.020,0.574,0.693,18.127,13.306,-7.385
-0.029,0.538,0.665,22.400,12.207,-9.399
-0.031,0.483,0.657,24.658,10.437,-10.742
-0.031,0.437,0.700,22.583,8.179,-10.864
-0.024,0.425,0.746,23.437,6.470,-8.545
-0.020,0.436,0.760,25.208,6.714,-5.737
-0.008,0.442,0.772,26.184,7.324,-3.418
-0.003,0.428,0.790,24.963,7.507,-2.441
0.009,0.450,0.833,21.484,7.874,-0.610
0.017,0.487,0.857,19.043,8.911,2.502
0.018,0.500,0.860,17.090,11.047,3.906
0.026,0.519,0.885,15.930,11.902,3.906
