aX,aY,aZ,gX,gY,gZ
0.166,1.934,1.619,114.197,-27.466,109.253
0.205,2.014,1.489,109.436,-9.766,88.562
0.144,2.051,1.165,105.896,7.996,63.843
0.089,1.945,0.847,89.661,20.630,37.231
0.135,1.596,0.673,49.805,23.926,13.550
0.206,1.209,0.589,1.282,23.376,-3.845
0.246,0.842,0.500,-25.513,23.315,-20.325
0.287,0.530,0.388,-22.766,23.132,-39.734
0.345,0.211,0.315,-4.395,19.104,-60.181
0.421,-0.058,0.339,9.338,10.681,-75.500
0.489,-0.275,0.444,17.517,1.892,-82.642
0.539,-0.459,0.548,22.766,-2.747,-82.703
0.576,-0.588,0.589,25.330,-3.113,-77.454
0.606,-0.665,0.604,25.513,-2.991,-69.031
0.617,-0.713,0.608,24.109,-2.686,-59.021
0.619,-0.732,0.570,21.851,-2.197,-47.363
0.643,-0.730,0.543,11.780,-2.930,-33.020
0.692,-0.712,0.535,-3.479,-4.333,-17.456
0.729,-0.636,0.534,-19.775,-5.554,-2.380
0.756,-0.521,0.531,-31.982,-6.042,10.498
0.764,-0.409,0.515,-36.438,-5.676,18.555
0.750,-0.322,0.465,-38.208,-4.456,21.301
0.690,-0.247,0.434,-39.734,-3.845,19.409
0.697,-0.295,0.415,-39.856,-3.296,13.062
0.680,-0.324,0.435,-40.588,-5.981,8.972
0.710,-0.371,0.470,-38.879,-7.019,3.540
0.736,-0.371,0.507,-33.081,-9.094,-1.892
0.755,-0.376,0.557,-21.118,-10.986,-9.399
0.783,-0.439,0.609,-7.324,-11.414,-18.188
0.785,-0.477,0.632,5.127,-9.888,-23.437
0.775,-0.480,0.661,13.916,-8.362,-23.804
0.750,-0.460,0.670,20.203,-6.042,-22.766
0.706,-0.390,0.619,22.034,-3.174,-19.470
0.635,-0.279,0.566,18.250,0.000,-16.479
0.642,-0.324,0.430,12.146,6.653,-23.987
0.646,-0.315,0.416,-4.272,8.301,-29.602
0.677,-0.318,0.450,-21.851,6.104,-25.696
0.695,-0.335,0.494,-31.494,7.812,-24.780
0.694,-0.378,0.524,-22.888,11.047,-25.452
0.695,-0.405,0.546,-9.827,15.015,-26.550
0.691,-0.368,0.548,-2.441,19.470,-27.832
0.658,-0.297,0.523,4.822,23.987,-30.334
0.613,-0.195,0.473,8.606,28.992,-35.339
0.587,-0.148,0.390,1.892,33.325,-42.175
0.586,-0.176,0.322,-12.207,35.583,-49.255
0.578,-0.228,0.250,-33.203,36.987,-53.467
0.601,-0.279,0.207,-54.871,36.072,-55.298
0.615,-0.324,0.183,-76.599,32.166,-54.993
0.623,-0.352,0.203,-94.116,28.870,-52.368
0.667,-0.421,0.253,-100.220,26.733,-50.415
0.680,-0.460,0.305,-97.778,25.330,-48.706
0.664,-0.447,0.339,-90.027,26.978,-46.997
0.643,-0.422,0.341,-83.557,31.006,-46.326
0.586,-0.409,0.345,-83.069,35.339,-45.410
0.605,-0.296,0.397,-91.675,40.161,-44.067
0.586,-0.408,0.305,-97.351,47.363,-53.345
0.641,-0.505,0.276,-104.553,48.340,-52.307
0.620,-0.543,0.254,-104.187,45.105,-39.185
0.584,-0.526,0.277,-102.722,40.588,-34.180
0.604,-0.501,0.313,-109.070,36.865,-37.231
0.629,-0.504,0.336,-114.136,35.706,-44.128
0.611,-0.525,0.370,-110.474,34.119,-52.979
0.584,-0.487,0.384,-102.966,32.715,-63.293
0.559,-0.532,0.346,-96.313,32.104,-78.125
0.536,-0.600,0.226,-91.675,32.410,-88.928
0.548,-0.669,0.204,-92.529,29.297,-91.919
0.565,-0.693,0.278,-97.839,24.048,-90.637
0.578,-0.738,0.387,-97.778,21.484,-89.294
0.601,-0.692,0.506,-98.755,22.705,-88.074
0.580,-0.630,0.558,-97.656,27.405,-91.919
0.541,-0.634,0.565,-88.257,33.936,-102.539
0.471,-0.684,0.476,-72.388,40.283,-112.915
0.432,-0.755,0.358,-62.256,43.274,-119.446
0.322,-0.845,0.232,-66.101,41.382,-121.460
0.295,-0.988,0.157,-79.834,36.865,-116.028
0.348,-0.966,0.157,-96.008,33.081,-99.854
0.322,-0.891,0.189,-98.938,28.503,-86.731
0.269,-0.960,0.118,-99.182,27.710,-87.158
0.311,-0.897,0.138,-117.065,19.653,-83.557
0.247,-0.760,0.220,-124.146,2.197,-81.116
0.561,-2.728,0.593,-172.485,-43.396,-44.678
0.636,-3.103,0.745,-155.823,-32.410,-42.786
0.494,-3.648,0.861,-121.704,-13.245,-43.091
0.233,-4.000,0.815,-82.153,11.047,-32.715
-0.048,-4.000,0.526,-39.917,32.593,-11.841
-0.284,-4.000,0.326,-15.625,41.016,18.066
-0.490,-4.000,0.354,-4.944,42.786,60.791
-0.713,-4.000,0.335,22.644,48.889,112.549
-0.992,-4.000,0.294,72.449,51.270,168.274
-1.308,-4.000,0.420,111.938,46.143,224.976
-1.608,-4.000,0.694,133.728,38.269,278.198
-1.869,-3.404,1.019,148.743,31.738,323.669
-2.067,-2.835,1.233,170.898,28.381,349.731
-2.259,-2.404,1.341,195.251,25.330,364.624
-2.346,-1.923,1.468,205.750,17.517,376.282
-2.352,-1.610,1.669,218.506,6.958,374.634
-2.392,-1.358,1.800,243.469,-2.747,366.577
-2.444,-1.067,1.835,261.902,-12.329,361.084
-2.476,-0.847,1.822,258.728,-21.423,356.873
-2.497,-0.746,1.784,244.385,-29.907,355.469
-2.425,-0.561,1.954,216.675,-39.856,360.413
-2.283,-0.085,2.271,178.223,-47.913,364.563
-2.003,0.348,2.407,168.091,-44.434,348.267
-1.625,0.627,2.431,174.927,-33.936,305.908
-1.286,0.846,2.252,184.753,-23.560,258.850
-1.052,1.005,1.906,184.937,-13.000,214.966
-0.934,0.980,1.720,174.011,-6.653,178.528
-0.987,0.867,1.499,163.635,-1.038,157.837
-1.035,0.696,1.188,160.278,3.784,152.588
-0.903,0.619,0.954,141.357,-7.507,156.128
-0.674,0.419,0.941,113.342,-33.447,158.020
-0.383,0.241,1.222,91.553,-60.303,158.997
-0.060,0.383,1.604,81.726,-74.829,161.621
0.189,0.585,1.793,97.351,-71.655,153.259
0.295,0.750,1.837,120.605,-58.289,133.850
0.326,0.867,1.837,130.554,-41.809,111.023
0.312,0.968,1.673,119.263,-22.827,89.722
0.255,1.040,1.441,92.407,-5.310,72.754
0.223,0.899,1.243,69.275,7.202,58.167
0.167,0.679,1.042,56.396,18.616,47.607
0.132,0.471,0.858,53.040,26.611,43.701
0.143,0.268,0.704,56.213,26.672,40.771
